study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10900705,s3://era-public/fastq/ERR109/005/ERR10900705/ERR10900705_1.fastq.gz,s3://era-public/fastq/ERR109/005/ERR10900705/ERR10900705_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900706,s3://era-public/fastq/ERR109/006/ERR10900706/ERR10900706_1.fastq.gz,s3://era-public/fastq/ERR109/006/ERR10900706/ERR10900706_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900714,s3://era-public/fastq/ERR109/014/ERR10900714/ERR10900714_1.fastq.gz,s3://era-public/fastq/ERR109/014/ERR10900714/ERR10900714_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900716,s3://era-public/fastq/ERR109/016/ERR10900716/ERR10900716_1.fastq.gz,s3://era-public/fastq/ERR109/016/ERR10900716/ERR10900716_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900718,s3://era-public/fastq/ERR109/018/ERR10900718/ERR10900718_1.fastq.gz,s3://era-public/fastq/ERR109/018/ERR10900718/ERR10900718_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900722,s3://era-public/fastq/ERR109/022/ERR10900722/ERR10900722_1.fastq.gz,s3://era-public/fastq/ERR109/022/ERR10900722/ERR10900722_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900730,s3://era-public/fastq/ERR109/030/ERR10900730/ERR10900730_1.fastq.gz,s3://era-public/fastq/ERR109/030/ERR10900730/ERR10900730_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900731,s3://era-public/fastq/ERR109/031/ERR10900731/ERR10900731_1.fastq.gz,s3://era-public/fastq/ERR109/031/ERR10900731/ERR10900731_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900732,s3://era-public/fastq/ERR109/032/ERR10900732/ERR10900732_1.fastq.gz,s3://era-public/fastq/ERR109/032/ERR10900732/ERR10900732_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900733,s3://era-public/fastq/ERR109/033/ERR10900733/ERR10900733_1.fastq.gz,s3://era-public/fastq/ERR109/033/ERR10900733/ERR10900733_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900740,s3://era-public/fastq/ERR109/040/ERR10900740/ERR10900740_1.fastq.gz,s3://era-public/fastq/ERR109/040/ERR10900740/ERR10900740_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900746,s3://era-public/fastq/ERR109/046/ERR10900746/ERR10900746_1.fastq.gz,s3://era-public/fastq/ERR109/046/ERR10900746/ERR10900746_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900750,s3://era-public/fastq/ERR109/050/ERR10900750/ERR10900750_1.fastq.gz,s3://era-public/fastq/ERR109/050/ERR10900750/ERR10900750_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900754,s3://era-public/fastq/ERR109/054/ERR10900754/ERR10900754_1.fastq.gz,s3://era-public/fastq/ERR109/054/ERR10900754/ERR10900754_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900759,s3://era-public/fastq/ERR109/059/ERR10900759/ERR10900759_1.fastq.gz,s3://era-public/fastq/ERR109/059/ERR10900759/ERR10900759_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900760,s3://era-public/fastq/ERR109/060/ERR10900760/ERR10900760_1.fastq.gz,s3://era-public/fastq/ERR109/060/ERR10900760/ERR10900760_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900763,s3://era-public/fastq/ERR109/063/ERR10900763/ERR10900763_1.fastq.gz,s3://era-public/fastq/ERR109/063/ERR10900763/ERR10900763_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900766,s3://era-public/fastq/ERR109/066/ERR10900766/ERR10900766_1.fastq.gz,s3://era-public/fastq/ERR109/066/ERR10900766/ERR10900766_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900768,s3://era-public/fastq/ERR109/068/ERR10900768/ERR10900768_1.fastq.gz,s3://era-public/fastq/ERR109/068/ERR10900768/ERR10900768_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900769,s3://era-public/fastq/ERR109/069/ERR10900769/ERR10900769_1.fastq.gz,s3://era-public/fastq/ERR109/069/ERR10900769/ERR10900769_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900770,s3://era-public/fastq/ERR109/070/ERR10900770/ERR10900770_1.fastq.gz,s3://era-public/fastq/ERR109/070/ERR10900770/ERR10900770_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900774,s3://era-public/fastq/ERR109/074/ERR10900774/ERR10900774_1.fastq.gz,s3://era-public/fastq/ERR109/074/ERR10900774/ERR10900774_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900775,s3://era-public/fastq/ERR109/075/ERR10900775/ERR10900775_1.fastq.gz,s3://era-public/fastq/ERR109/075/ERR10900775/ERR10900775_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900776,s3://era-public/fastq/ERR109/076/ERR10900776/ERR10900776_1.fastq.gz,s3://era-public/fastq/ERR109/076/ERR10900776/ERR10900776_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900780,s3://era-public/fastq/ERR109/080/ERR10900780/ERR10900780_1.fastq.gz,s3://era-public/fastq/ERR109/080/ERR10900780/ERR10900780_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900781,s3://era-public/fastq/ERR109/081/ERR10900781/ERR10900781_1.fastq.gz,s3://era-public/fastq/ERR109/081/ERR10900781/ERR10900781_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900782,s3://era-public/fastq/ERR109/082/ERR10900782/ERR10900782_1.fastq.gz,s3://era-public/fastq/ERR109/082/ERR10900782/ERR10900782_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900785,s3://era-public/fastq/ERR109/085/ERR10900785/ERR10900785_1.fastq.gz,s3://era-public/fastq/ERR109/085/ERR10900785/ERR10900785_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900786,s3://era-public/fastq/ERR109/086/ERR10900786/ERR10900786_1.fastq.gz,s3://era-public/fastq/ERR109/086/ERR10900786/ERR10900786_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900787,s3://era-public/fastq/ERR109/087/ERR10900787/ERR10900787_1.fastq.gz,s3://era-public/fastq/ERR109/087/ERR10900787/ERR10900787_2.fastq.gz,paired,wgs,illumina
