study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10901160,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/060/ERR10901160/ERR10901160_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/060/ERR10901160/ERR10901160_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901164,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10901164/ERR10901164_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10901164/ERR10901164_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901165,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10901165/ERR10901165_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/065/ERR10901165/ERR10901165_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901167,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10901167/ERR10901167_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10901167/ERR10901167_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901169,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10901169/ERR10901169_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10901169/ERR10901169_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901173,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10901173/ERR10901173_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10901173/ERR10901173_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901175,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/075/ERR10901175/ERR10901175_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/075/ERR10901175/ERR10901175_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901179,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10901179/ERR10901179_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10901179/ERR10901179_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901181,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/081/ERR10901181/ERR10901181_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/081/ERR10901181/ERR10901181_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901186,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10901186/ERR10901186_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10901186/ERR10901186_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901192,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10901192/ERR10901192_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10901192/ERR10901192_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901198,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10901198/ERR10901198_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10901198/ERR10901198_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901202,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10901202/ERR10901202_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10901202/ERR10901202_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901203,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/003/ERR10901203/ERR10901203_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/003/ERR10901203/ERR10901203_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901205,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10901205/ERR10901205_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10901205/ERR10901205_2.fastq.gz,paired,wgs,illumina
