sample,accession,fastq_1,fastq_2
ERR10889704,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/004/ERR10889704/ERR10889704_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/004/ERR10889704/ERR10889704_2.fastq.gz
ERR10900862,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10900862/ERR10900862_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/062/ERR10900862/ERR10900862_2.fastq.gz
ERR10889707,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR10889707/ERR10889707_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR10889707/ERR10889707_2.fastq.gz
ERR10900867,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10900867/ERR10900867_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/067/ERR10900867/ERR10900867_2.fastq.gz
ERR10889710,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/010/ERR10889710/ERR10889710_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/010/ERR10889710/ERR10889710_2.fastq.gz
ERR10900872,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/072/ERR10900872/ERR10900872_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/072/ERR10900872/ERR10900872_2.fastq.gz
ERR10889713,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/013/ERR10889713/ERR10889713_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/013/ERR10889713/ERR10889713_2.fastq.gz
ERR10900873,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10900873/ERR10900873_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10900873/ERR10900873_2.fastq.gz
ERR10889717,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/017/ERR10889717/ERR10889717_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/017/ERR10889717/ERR10889717_2.fastq.gz
ERR10900877,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10900877/ERR10900877_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10900877/ERR10900877_2.fastq.gz
ERR10889726,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10889726/ERR10889726_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10889726/ERR10889726_2.fastq.gz
ERR10900878,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10900878/ERR10900878_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10900878/ERR10900878_2.fastq.gz
ERR10889735,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/035/ERR10889735/ERR10889735_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/035/ERR10889735/ERR10889735_2.fastq.gz
ERR10900879,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10900879/ERR10900879_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10900879/ERR10900879_2.fastq.gz
ERR10889739,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/039/ERR10889739/ERR10889739_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/039/ERR10889739/ERR10889739_2.fastq.gz
ERR10900882,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10900882/ERR10900882_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10900882/ERR10900882_2.fastq.gz
ERR10889748,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/048/ERR10889748/ERR10889748_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/048/ERR10889748/ERR10889748_2.fastq.gz
ERR10900887,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10900887/ERR10900887_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10900887/ERR10900887_2.fastq.gz
ERR10900892,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10900892/ERR10900892_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/092/ERR10900892/ERR10900892_2.fastq.gz
ERR10889750,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/050/ERR10889750/ERR10889750_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/050/ERR10889750/ERR10889750_2.fastq.gz
ERR10900895,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/095/ERR10900895/ERR10900895_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/095/ERR10900895/ERR10900895_2.fastq.gz
ERR10889766,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/066/ERR10889766/ERR10889766_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/066/ERR10889766/ERR10889766_2.fastq.gz
ERR10889776,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/076/ERR10889776/ERR10889776_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/076/ERR10889776/ERR10889776_2.fastq.gz
ERR10900901,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10900901/ERR10900901_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/001/ERR10900901/ERR10900901_2.fastq.gz
ERR10900902,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10900902/ERR10900902_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10900902/ERR10900902_2.fastq.gz
