study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10889056,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/rrap/reads/ERR10889056_1.mini.fastq.gz,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/rrap/reads/ERR10889056_2.mini.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10889147,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/rrap/reads/ERR10889147_1.mini.fastq.gz,/hps/nobackup/rdf/metagenomics/service-team/users/timrozday/rrap/reads/ERR10889147_2.mini.fastq.gz,paired,wgs,illumina
